14/2/40, terça-feira, Carnaval
30/3/40, sexta-feira, Paixão de Cristo
21/4/40, sábado, Tiradentes
1/5/40, terça-feira, Dia do Trabalho
31/5/40, quinta-feira, Corpus Christi
7/9/40, sexta-feira, Independência do Brasil
12/10/40, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/40, sexta-feira, Finados
15/11/40, quinta-feira, Proclamação da República
25/12/2040, terça-feira, Natal
1/1/41, terça-feira, Confraternização Universal
4/3/41, segunda-feira, Carnaval
5/3/41, terça-feira, Carnaval
19/4/41, sexta-feira, Paixão de Cristo
21/4/41, domingo, Tiradentes
1/5/41, quarta-feira, Dia do Trabalho
20/6/41, quinta-feira, Corpus Christi
7/9/41, sábado, Independência do Brasil
12/10/41, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/41, sábado, Finados
15/11/41, sexta-feira, Proclamação da República
25/12/41, quarta-feira, Natal
1/1/42, quarta-feira, Confraternização Universal
17/2/42, segunda-feira, Carnaval
18/2/42, terça-feira, Carnaval
4/4/42, sexta-feira, Paixão de Cristo
21/4/42, segunda-feira, Tiradentes
1/5/42, quinta-feira, Dia do Trabalho
5/6/42, quinta-feira, Corpus Christi
7/9/42, domingo, Independência do Brasil
12/10/42, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/42, domingo, Finados
15/11/42, sábado, Proclamação da República
25/12/42, quinta-feira, Natal
1/1/43, quinta-feira, Confraternização Universal
9/2/43, segunda-feira, Carnaval
10/2/43, terça-feira, Carnaval
27/3/43, sexta-feira, Paixão de Cristo
21/4/43, terça-feira, Tiradentes
1/5/43, sexta-feira, Dia do Trabalho
28/5/43, quinta-feira, Corpus Christi
7/9/43, segunda-feira, Independência do Brasil
12/10/43, segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/43, segunda-feira, Finados
15/11/43, domingo, Proclamação da República
25/12/43, sexta-feira, Natal
1/1/44, sexta-feira, Confraternização Universal
29/2/44, segunda-feira, Carnaval
1/3/44, terça-feira, Carnaval
15/4/44, sexta-feira, Paixão de Cristo
21/4/44, quinta-feira, Tiradentes
1/5/44, domingo, Dia do Trabalho
16/6/44, quinta-feira, Corpus Christi
7/9/44, quarta-feira, Independência do Brasil
12/10/44, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/44, quarta-feira, Finados
15/11/44, terça-feira, Proclamação da República
25/12/44, domingo, Natal
1/1/45, domingo, Confraternização Universal
20/2/45, segunda-feira, Carnaval
21/2/45, terça-feira, Carnaval
7/4/45, sexta-feira, Paixão de Cristo
21/4/45, sexta-feira, Tiradentes
1/5/45, segunda-feira, Dia do Trabalho
8/6/45, quinta-feira, Corpus Christi
7/9/45, quinta-feira, Independência do Brasil
12/10/45, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/45, quinta-feira, Finados
15/11/45, quarta-feira, Proclamação da República
25/12/45, segunda-feira, Natal
1/1/46, segunda-feira, Confraternização Universal
5/2/46, segunda-feira, Carnaval
6/2/46, terça-feira, Carnaval
23/3/46, sexta-feira, Paixão de Cristo
21/4/46, sábado, Tiradentes
1/5/46, terça-feira, Dia do Trabalho
24/5/46, quinta-feira, Corpus Christi
7/9/46, sexta-feira, Independência do Brasil
12/10/46, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/46, sexta-feira, Finados
15/11/46, quinta-feira, Proclamação da República
25/12/46, terça-feira, Natal
1/1/47, terça-feira, Confraternização Universal
25/2/47, segunda-feira, Carnaval
26/2/47, terça-feira, Carnaval
12/4/47, sexta-feira, Paixão de Cristo
21/4/47, domingo, Tiradentes
1/5/47, quarta-feira, Dia do Trabalho
13/6/47, quinta-feira, Corpus Christi
7/9/47, sábado, Independência do Brasil
12/10/47, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/47, sábado, Finados
15/11/47, sexta-feira, Proclamação da República
25/12/47, quarta-feira, Natal
1/1/48, quarta-feira, Confraternização Universal
17/2/48, segunda-feira, Carnaval
18/2/48, terça-feira, Carnaval
3/4/48, sexta-feira, Paixão de Cristo
21/4/48, terça-feira, Tiradentes
1/5/48, sexta-feira, Dia do Trabalho
4/6/48, quinta-feira, Corpus Christi
7/9/48, segunda-feira, Independência do Brasil
12/10/48, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/48, segunda-feira, Finados
15/11/48, domingo, Proclamação da República
25/12/48, sexta-feira, Natal
1/1/49, sexta-feira, Confraternização Universal
1/3/49, segunda-feira, Carnaval
2/3/49, terça-feira, Carnaval
16/4/49, sexta-feira, Paixão de Cristo
21/4/49, quarta-feira, Tiradentes
1/5/49, sábado, Dia do Trabalho
17/6/49, quinta-feira, Corpus Christi
7/9/49, terça-feira, Independência do Brasil
12/10/49, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/49, terça-feira, Finados
15/11/49, segunda-feira, Proclamação da República
25/12/49, sábado, Natal
1/1/50, sábado, Confraternização Universal
21/2/50, segunda-feira, Carnaval
22/2/50, terça-feira, Carnaval
8/4/50, sexta-feira, Paixão de Cristo
21/4/50, quinta-feira, Tiradentes
1/5/50, domingo, Dia do Trabalho
9/6/50, quinta-feira, Corpus Christi
7/9/50, quarta-feira, Independência do Brasil
12/10/50, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/50, quarta-feira, Finados
15/11/50, terça-feira, Proclamação da República
25/12/50, domingo, Natal
1/1/51, domingo, Confraternização Universal
13/2/51, segunda-feira, Carnaval
14/2/51, terça-feira, Carnaval
31/3/51, sexta-feira, Paixão de Cristo
21/4/51, sexta-feira, Tiradentes
1/5/51, segunda-feira, Dia do Trabalho
1/6/51, quinta-feira, Corpus Christi
7/9/51, quinta-feira, Independência do Brasil
12/10/51, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/51, quinta-feira, Finados
15/11/51, quarta-feira, Proclamação da República
25/12/51, segunda-feira, Natal 
1/1/52, segunda-feira, Confraternização Universal
4/3/52, segunda-feira, Carnaval
5/3/52, terça-feira, Carnaval
19/4/52, sexta-feira, Paixão de Cristo
21/4/52, domingo, Tiradentes
1/5/52, quarta-feira, Dia do Trabalho
20/6/52, quinta-feira, Corpus Christi
7/9/52, sábado, Independência do Brasil
12/10/52, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/52, sábado, Finados
15/11/52, sexta-feira, Proclamação da República
25/12/52, quarta-feira, Natal
1/1/53, quarta-feira, Confraternização Universal
17/2/53, segunda-feira, Carnaval
18/2/53, terça-feira, Carnaval
4/4/53, sexta-feira, Paixão de Cristo
21/4/53, segunda-feira, Tiradentes
1/5/53, quinta-feira, Dia do Trabalho
5/6/53, quinta-feira, Corpus Christi
7/9/53, domingo, Independência do Brasil
12/10/53, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/53, domingo, Finados
15/11/53, sábado, Proclamação da República
25/12/53, quinta-feira, Natal
1/1/54, quinta-feira, Confraternização Universal
9/2/54, segunda-feira, Carnaval
10/2/54, terça-feira, Carnaval
27/3/54, sexta-feira, Paixão de Cristo
21/4/54, terça-feira, Tiradentes
1/5/54, sexta-feira, Dia do Trabalho
28/5/54, quinta-feira, Corpus Christi
7/9/54, segunda-feira, Independência do Brasil
12/10/54, segunda-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/54, segunda-feira, Finados
15/11/54, domingo, Proclamação da República
25/12/54, sexta-feira, Natal
1/1/55, sexta-feira, Confraternização Universal
1/3/55, segunda-feira, Carnaval
2/3/55, terça-feira, Carnaval
16/4/55, sexta-feira, Paixão de Cristo
21/4/55, quarta-feira, Tiradentes
1/5/55, sábado, Dia do Trabalho
17/6/55, quinta-feira, Corpus Christi
7/9/55, terça-feira, Independência do Brasil
12/10/55, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/55, terça-feira, Finados
15/11/55, segunda-feira, Proclamação da República
25/12/55, sábado, Natal
1/1/56, sábado, Confraternização Universal
14/2/56, segunda-feira, Carnaval
15/2/56, terça-feira, Carnaval
31/3/56, sexta-feira, Paixão de Cristo
21/4/56, sexta-feira, Tiradentes
1/5/56, segunda-feira, Dia do Trabalho
1/6/56, quinta-feira, Corpus Christi
7/9/56, quinta-feira, Independência do Brasil
12/10/56, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/56, quinta-feira, Finados
15/11/56, quarta-feira, Proclamação da República
25/12/56, segunda-feira, Natal
1/1/57, segunda-feira, Confraternização Universal
5/3/57, segunda-feira, Carnaval
6/3/57, terça-feira, Carnaval
20/4/57, sexta-feira, Paixão de Cristo
21/4/57, sábado, Tiradentes
1/5/57, terça-feira, Dia do Trabalho
21/6/57, quinta-feira, Corpus Christi
7/9/57, sexta-feira, Independência do Brasil
12/10/57, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/57, sexta-feira, Finados
15/11/57, quinta-feira, Proclamação da República
25/12/57, terça-feira, Natal
1/1/58, terça-feira, Confraternização Universal
25/2/58, segunda-feira, Carnaval
26/2/58, terça-feira, Carnaval
12/4/58, sexta-feira, Paixão de Cristo
21/4/58, domingo, Tiradentes
1/5/58, quarta-feira, Dia do Trabalho
13/6/58, quinta-feira, Corpus Christi
7/9/58, sábado, Independência do Brasil
12/10/58, sábado, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/58, sábado, Finados
15/11/58, sexta-feira, Proclamação da República
25/12/58, quarta-feira, Natal
1/1/59, quarta-feira, Confraternização Universal
10/2/59, segunda-feira, Carnaval
11/2/59, terça-feira, Carnaval
28/3/59, sexta-feira, Paixão de Cristo
21/4/59, segunda-feira, Tiradentes
1/5/59, quinta-feira, Dia do Trabalho
29/5/59, quinta-feira, Corpus Christi
7/9/59, domingo, Independência do Brasil
12/10/59, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/59, domingo, Finados
15/11/59, sábado, Proclamação da República
25/12/59, quinta-feira, Natal
1/1/60, quinta-feira, Confraternização Universal
1/3/60, segunda-feira, Carnaval
2/3/60, terça-feira, Carnaval
16/4/60, sexta-feira, Paixão de Cristo
21/4/60, quarta-feira, Tiradentes
1/5/60, sábado, Dia do Trabalho
17/6/60, quinta-feira, Corpus Christi
7/9/60, terça-feira, Independência do Brasil
12/10/60, terça-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/60, terça-feira, Finados
15/11/60, segunda-feira, Proclamação da República
25/12/60, sábado, Natal
1/1/61, sábado, Confraternização Universal
21/2/61, segunda-feira, Carnaval
22/2/61, terça-feira, Carnaval
8/4/61, sexta-feira, Paixão de Cristo
21/4/61, quinta-feira, Tiradentes
1/5/61, domingo, Dia do Trabalho
9/6/61, quinta-feira, Corpus Christi
7/9/61, quarta-feira, Independência do Brasil
12/10/61, quarta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/61, quarta-feira, Finados
15/11/61, terça-feira, Proclamação da República
25/12/61, domingo, Natal
1/1/62, domingo, Confraternização Universal
6/2/62, segunda-feira, Carnaval
7/2/62, terça-feira, Carnaval
24/3/62, sexta-feira, Paixão de Cristo
21/4/62, sexta-feira, Tiradentes
1/5/62, segunda-feira, Dia do Trabalho
25/5/62, quinta-feira, Corpus Christi
7/9/62, quinta-feira, Independência do Brasil
12/10/62, quinta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/62, quinta-feira, Finados
15/11/62, quarta-feira, Proclamação da República
25/12/62, segunda-feira, Natal
1/1/63, segunda-feira, Confraternização Universal
26/2/63, segunda-feira, Carnaval
27/2/63, terça-feira, Carnaval
13/4/63, sexta-feira, Paixão de Cristo
21/4/63, sábado, Tiradentes
1/5/63, terça-feira, Dia do Trabalho
14/6/63, quinta-feira, Corpus Christi
7/9/63, sexta-feira, Independência do Brasil
12/10/63, sexta-feira, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/63, sexta-feira, Finados
15/11/63, quinta-feira, Proclamação da República
25/12/63, terça-feira, Natal
1/1/64, terça-feira, Confraternização Universal
18/2/64, segunda-feira, Carnaval
19/2/64, terça-feira, Carnaval
4/4/64, sexta-feira, Paixão de Cristo
21/4/64, segunda-feira, Tiradentes
1/5/64, quinta-feira, Dia do Trabalho
5/6/64, quinta-feira, Corpus Christi
7/9/64, domingo, Independência do Brasil
12/10/64, domingo, Nossa Sr.a Aparecida - Padroeira do Brasil
2/11/64, domingo, Finados
15/11/64, sábado, Proclamação da República
25/12/64, quinta-feira, Natal
1/1/65, quinta-feira, Confraternização Universal
9/2/65, segunda-feira, Carnaval
10/2/65, terça-feira, Carnaval
27/3/65, sexta-feira, Paixão de Cristo
21/4/65, terça-feira, Tiradentes
1/5/65, sexta-feira, Dia do Trabalho
28/5/65, quinta-feira, Corpus Christi
